#model:basicModel, seed:42, epochs:100, learningRate:0.5, shots:10000 1st:model, 2nd:loss, 3rd:accuracy
[2.93730054 1.67575324 1.61574608 3.14138692 3.14145988]
[0.59404776 0.58168581 0.5705478  0.56080303 0.55224218 0.54467278
 0.53839372 0.53317243 0.5284335  0.52427121 0.52068578 0.51731916
 0.51403675 0.51068225 0.5073457  0.50388053 0.50024556 0.49651483
 0.49249566 0.48814046 0.48351083 0.47902259 0.47432391 0.46984458
 0.46550908 0.46146726 0.45776861 0.45438604 0.45151861 0.44890051
 0.44678848 0.44510304 0.4437857  0.44268952 0.44191618 0.44124821
 0.44075149 0.44035466 0.44009786 0.43988531 0.43973675 0.43964364
 0.43956489 0.43946674 0.43939645 0.43938751 0.43940451 0.43940127
 0.43935719 0.43936544 0.43935818 0.4393625  0.43937331 0.43938884
 0.43939485 0.4393779  0.43940575 0.43940431 0.43939941 0.43940714
 0.43942473 0.43943611 0.43942906 0.43942729 0.43943023 0.43942244
 0.43942444 0.43941751 0.43941526 0.43941409 0.4394135  0.43942058
 0.43941793 0.43942767 0.4394228  0.43942073 0.43942218 0.4394248
 0.43943606 0.43943423 0.43943066 0.43944287 0.43944674 0.43944826
 0.43944905 0.43945287 0.43945305 0.43945368 0.43945202 0.43944998
 0.43944894 0.4394493  0.43945263 0.43945711 0.43945711 0.43945928
 0.43946155 0.43946572 0.43946746 0.43946746]
[0.94 0.93 0.92 0.93 0.93 0.94 0.93 0.94 0.94 0.94 0.94 0.94 0.94 0.94
 0.94 0.94 0.96 0.96 0.96 0.96 0.96 0.96 0.97 0.96 0.95 0.95 0.94 0.94
 0.94 0.94 0.94 0.94 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93
 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93
 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.92 0.92 0.92 0.92
 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92]
