#model:basicModel, seed:42, epochs:100, learningRate:1, shots:10000 1st:model, 2nd:loss, 3rd:accuracy
[2.9370253  1.67637979 1.61641105 6.28301973 6.28307944]
[0.76438854 0.60956775 0.5403864  0.50624842 0.48618556 0.472409
 0.46247889 0.45520778 0.44985142 0.44618013 0.44372732 0.4421177
 0.44112235 0.4404535  0.44004598 0.43978    0.43959307 0.4395072
 0.43943493 0.43942808 0.43943895 0.43940037 0.43939937 0.43942312
 0.43941939 0.43943836 0.43944365 0.43942622 0.43941008 0.43942144
 0.43941518 0.43942702 0.43942002 0.43941113 0.43941418 0.43942631
 0.43942939 0.43943159 0.43943772 0.43943219 0.43944764 0.43945156
 0.43945182 0.43944974 0.43944723 0.43945118 0.43945928 0.43946572
 0.43946613 0.43946656 0.43946255 0.43946286 0.43946693 0.43946693
 0.43946884 0.43946919 0.43947071 0.43947071 0.43946932 0.43947313
 0.43947313 0.43946939 0.43946577 0.43946726 0.43946943 0.43946943
 0.43946653 0.43946653 0.43946803 0.43946803 0.43946803 0.43946803
 0.43946803 0.43946803 0.43946803 0.43946682 0.43946682 0.43946682
 0.43946682 0.43946682 0.43946682 0.43946682 0.43946682 0.43946682
 0.43946682 0.43946682 0.43946682 0.43946682 0.43946682 0.43946682
 0.43946682 0.43946682 0.43946682 0.43946682 0.43946682 0.43946682
 0.43946682 0.43946682 0.43946682 0.43946682]
[0.29 0.84 0.94 0.93 0.9  0.9  0.9  0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93
 0.93 0.93 0.93 0.93 0.93 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92]
