#model:doubleEncoding, seed:42, epochs:100, learningRate:0.5, shots:10000 1st:model, 2nd:loss, 3rd:accuracy
[-0.1379173   3.04978542  4.78522381  3.1984362   3.13020488]
[0.91389093 0.86243997 0.80926192 0.75844058 0.71127798 0.66956441
 0.63273697 0.60155545 0.57483982 0.55261239 0.53404754 0.51883165
 0.50653173 0.49664245 0.48859529 0.48198208 0.47690666 0.47280427
 0.46938246 0.46681591 0.46446885 0.46276223 0.46132307 0.46021083
 0.45934262 0.45865861 0.45818105 0.45774544 0.4573874  0.45709577
 0.45679974 0.45657609 0.45648782 0.45631191 0.45620602 0.45610781
 0.45600814 0.45592141 0.45585845 0.45580069 0.45573102 0.45571753
 0.45568673 0.45564801 0.45564166 0.45562458 0.45555359 0.45560098
 0.45554523 0.45549799 0.45547772 0.45545843 0.4554285  0.45539121
 0.45539364 0.45538621 0.45537283 0.45538061 0.45535014 0.45535329
 0.45531554 0.45532125 0.45529564 0.45525844 0.45523711 0.45523197
 0.4552377  0.45523007 0.4552228  0.45521531 0.45519687 0.45519045
 0.45515689 0.45517419 0.45516962 0.45513155 0.45510775 0.45509908
 0.4550874  0.45506874 0.45504619 0.45504103 0.45503276 0.45504249
 0.45505262 0.4550199  0.45498058 0.45496532 0.45493127 0.45489958
 0.45486369 0.45485172 0.45485287 0.45485497 0.45482225 0.45477853
 0.4547388  0.45472247 0.45470104 0.454672  ]
[0.4  0.43 0.47 0.56 0.59 0.64 0.66 0.7  0.73 0.82 0.82 0.82 0.83 0.84
 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84
 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84
 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84
 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84
 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84
 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.85 0.85 0.85 0.85 0.85
 0.85 0.85]
