#model:doubleEncoding, seed:42, epochs:100, learningRate:0.75, shots:10000 1st:model, 2nd:loss, 3rd:accuracy
[ 4.49733899  2.52864704  6.77107212  6.34631357 -0.00888952]
[0.69521374 0.67849171 0.6629132  0.64825025 0.6337887  0.6199618
 0.6071104  0.59515133 0.58490471 0.57514016 0.56683587 0.55960547
 0.55371895 0.54885625 0.54481178 0.54161477 0.53880046 0.53651484
 0.53473615 0.53303661 0.53179361 0.53079017 0.52987717 0.52915469
 0.52844288 0.52795636 0.52755036 0.52724899 0.52700667 0.52678035
 0.52655268 0.52635076 0.52626353 0.52612469 0.52605892 0.5259459
 0.52592576 0.52588313 0.52586804 0.52581494 0.52580908 0.52573508
 0.52572142 0.52570089 0.52569684 0.52567928 0.52566484 0.52564756
 0.52563098 0.52557428 0.52555771 0.52551619 0.52551529 0.52552116
 0.52550233 0.52552315 0.52553245 0.5255554  0.52553814 0.52552962
 0.52555173 0.52556537 0.52544439 0.52542291 0.52537681 0.52535626
 0.52538951 0.52540177 0.52535967 0.52535847 0.52532524 0.52533028
 0.52533232 0.52531615 0.52528541 0.52523754 0.52522794 0.52522347
 0.52526345 0.52526257 0.52521707 0.52522586 0.52521853 0.52523294
 0.52521102 0.52519731 0.52519915 0.52518494 0.52520156 0.52519449
 0.52517883 0.52520147 0.5252246  0.52523615 0.52519591 0.52516509
 0.52514394 0.52510693 0.52512385 0.52508495]
[0.58 0.61 0.61 0.69 0.75 0.77 0.81 0.83 0.84 0.85 0.85 0.85 0.84 0.85
 0.85 0.85 0.85 0.85 0.85 0.85 0.83 0.83 0.83 0.83 0.83 0.83 0.82 0.82
 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.83 0.83 0.83
 0.83 0.83 0.83 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82
 0.83 0.83 0.83 0.83 0.83 0.83 0.83 0.83 0.83 0.83 0.83 0.85 0.85 0.85
 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85
 0.85 0.85 0.85 0.85 0.85 0.85 0.84 0.84 0.84 0.84 0.83 0.83 0.83 0.83
 0.83 0.83]
