#model:doubleEncoding, seed:42, epochs:100, learningRate:0.75, shots:1000 1st:model, 2nd:loss, 3rd:accuracy
[1.32381496 7.85491615 3.1421425  5.59882422 6.3092494 ]
[0.73280536 0.70608467 0.68533041 0.66800976 0.65250072 0.63819362
 0.62429017 0.61055155 0.5955579  0.57962771 0.5619405  0.54325883
 0.52390656 0.50240265 0.4800636  0.45831803 0.43597543 0.41917948
 0.40470048 0.39360101 0.38461383 0.37774039 0.3732899  0.37000076
 0.36774611 0.36619079 0.36494326 0.36378352 0.36320686 0.36292805
 0.3624233  0.3620489  0.36213305 0.36183068 0.36193311 0.36195751
 0.36189233 0.36172578 0.36183397 0.36173304 0.36160341 0.3615677
 0.36150607 0.36151647 0.36153763 0.36151707 0.36161481 0.36163226
 0.36161505 0.36158467 0.36159405 0.3615943  0.36161748 0.36161748
 0.36161748 0.36161818 0.36163612 0.36163612 0.36163612 0.36163612
 0.36163612 0.36164903 0.36164903 0.36164903 0.36164903 0.36162986
 0.36162986 0.3616306  0.3616306  0.3616306  0.3616306  0.3616306
 0.3616306  0.3616306  0.36164948 0.36164948 0.36164948 0.36164948
 0.36164948 0.36164948 0.36164948 0.36164948 0.36164948 0.36166583
 0.36164948 0.36166583 0.36164948 0.36166583 0.36166583 0.36166583
 0.36166583 0.36166583 0.36166583 0.36166583 0.36166583 0.36165137
 0.36165137 0.36163502 0.36165137 0.36165137]
[0.58 0.61 0.64 0.66 0.69 0.7  0.72 0.73 0.74 0.74 0.75 0.77 0.78 0.81
 0.83 0.83 0.84 0.85 0.85 0.86 0.86 0.88 0.88 0.88 0.91 0.92 0.92 0.92
 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92]
